date, pm25, pm10, o3, no2, so2, co
2021/7/1, 56, 14, 27, 3, 1, 
2021/7/2, 44, 10, 24, 3, 1, 
2021/7/3, 32, 6, 16, 2, , 
2021/7/4, 15, 12, 21, 3, , 
2021/7/5, 22, 9, 19, 2, , 
2021/7/6, 19, 9, 23, 3, 1, 
2021/7/7, 21, 11, 23, 2, 1, 
2021/7/8, 27, 9, 18, 2, , 
2021/7/9, 24, 6, 21, 3, , 
2021/7/10, 18, 7, 16, 3, , 
2021/7/11, 22, 10, 15, 4, , 
2021/7/12, 34, 10, 21, 3, , 
2021/7/13, 32, 7, 21, 1, , 
2021/7/14, 26, 10, 25, 2, , 
2021/7/15, 23, , 35, 6, , 
2021/7/19, 48, 18, 32, 5, , 
2021/7/20, 54, 21, 37, 6, , 
2021/7/21, 51, 26, 51, 5, , 
2021/7/22, 57, 24, 34, 4, , 
2021/7/23, 55, , , , , 
2021/6/1, 47, 18, 40, 6, 1, 
2021/6/2, 51, 15, 32, 1, 1, 
2021/6/3, 37, 9, 26, 3, 1, 
2021/6/4, 22, 25, 15, 4, 1, 
2021/6/5, 67, 7, 23, 1, 1, 
2021/6/6, 21, 10, 24, 1, 1, 
2021/6/7, 26, 11, 28, 2, 1, 
2021/6/8, 28, 9, 15, 3, 1, 
2021/6/9, 32, 6, 10, 1, , 
2021/6/10, 14, 6, 17, , , 
2021/6/11, 18, 15, 22, , , 
2021/6/12, 49, 12, 33, , , 
2021/6/13, 35, 14, 19, , 1, 
2021/6/14, 39, 12, 32, , 1, 
2021/6/15, 30, 12, 22, 2, 1, 
2021/6/16, 30, 13, 23, 4, , 
2021/6/17, 33, 10, 24, 3, , 
2021/6/18, 23, 8, 22, 3, 1, 
2021/6/19, 24, 8, 19, 2, , 
2021/6/20, 21, 9, 23, 3, 1, 
2021/6/21, 24, 9, 25, 2, , 
2021/6/22, 33, 14, 26, 4, 1, 
2021/6/23, 47, 10, 24, 3, 1, 
