Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2020-06-23,01:00:00,9.8,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),210,N deg,2.7,N ms-1,10.7,N degC
2020-06-23,02:00:00,10,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),199.5,N deg,2.8,N ms-1,10.3,N degC
2020-06-23,03:00:00,7.1,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),209.8,N deg,3.4,N ms-1,10.7,N degC
2020-06-23,04:00:00,8.7,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),215,N deg,2.6,N ms-1,10.9,N degC
2020-06-23,05:00:00,12.9,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),195.7,N deg,1.9,N ms-1,10.8,N degC
2020-06-23,06:00:00,13.6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),167.6,N deg,2.2,N ms-1,11.2,N degC
2020-06-23,07:00:00,13.9,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),150.7,N deg,2.8,N ms-1,11.3,N degC
2020-06-23,08:00:00,17,V ugm-3 (TEOM FDMS),6.8,V ugm-3 (TEOM FDMS),134.5,N deg,2.6,N ms-1,11.6,N degC
2020-06-23,09:00:00,14.4,V ugm-3 (TEOM FDMS),8.6,V ugm-3 (TEOM FDMS),126.8,N deg,2.8,N ms-1,12.4,N degC
2020-06-23,10:00:00,19.6,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),123.6,N deg,2.9,N ms-1,13.9,N degC
2020-06-23,11:00:00,18.1,V ugm-3 (TEOM FDMS),9.1,V ugm-3 (TEOM FDMS),143.3,N deg,3.2,N ms-1,17.1,N degC
2020-06-23,12:00:00,18.5,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),158.2,N deg,3.3,N ms-1,19.4,N degC
2020-06-23,13:00:00,17.2,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),168.3,N deg,3.9,N ms-1,21.4,N degC
2020-06-23,14:00:00,16.2,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),169.8,N deg,4.8,N ms-1,22,N degC
2020-06-23,15:00:00,15.2,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),171.5,N deg,5.4,N ms-1,22,N degC
2020-06-23,16:00:00,15.4,V ugm-3 (TEOM FDMS),8.1,V ugm-3 (TEOM FDMS),173.1,N deg,5.3,N ms-1,21.7,N degC
2020-06-23,17:00:00,13.6,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),177.9,N deg,4.8,N ms-1,21.2,N degC
2020-06-23,18:00:00,13.1,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),182.7,N deg,4.1,N ms-1,20.5,N degC
2020-06-23,19:00:00,13,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),185.5,N deg,3.3,N ms-1,19.5,N degC
2020-06-23,20:00:00,13.7,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),183.8,N deg,2.2,N ms-1,17.5,N degC
2020-06-23,21:00:00,12.6,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),151.1,N deg,1.1,N ms-1,15.9,N degC
2020-06-23,22:00:00,17.1,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),98.5,N deg,1.8,N ms-1,15,N degC
2020-06-23,23:00:00,25.4,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),63.2,N deg,1.6,N ms-1,14,N degC
2020-06-23,24:00:00,18.6,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),45.9,N deg,2.2,N ms-1,13.2,N degC
2020-06-24,01:00:00,19.3,V ugm-3 (TEOM FDMS),12.2,V ugm-3 (TEOM FDMS),9.2,N deg,2.5,N ms-1,11.5,N degC
2020-06-24,02:00:00,16.4,V ugm-3 (TEOM FDMS),11.5,V ugm-3 (TEOM FDMS),31.6,N deg,2.5,N ms-1,10.7,N degC
2020-06-24,03:00:00,15.5,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),47.9,N deg,2.8,N ms-1,10.4,N degC
2020-06-24,04:00:00,8.6,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),53.3,N deg,3.2,N ms-1,10.5,N degC
2020-06-24,05:00:00,17.6,V ugm-3 (TEOM FDMS),10.5,V ugm-3 (TEOM FDMS),51.7,N deg,3.3,N ms-1,10.9,N degC
2020-06-24,06:00:00,18,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),52.9,N deg,3.6,N ms-1,12.9,N degC
2020-06-24,07:00:00,16.3,V ugm-3 (TEOM FDMS),10.8,V ugm-3 (TEOM FDMS),68.9,N deg,4,N ms-1,15,N degC
2020-06-24,08:00:00,21.9,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),76.9,N deg,3.8,N ms-1,16.7,N degC
2020-06-24,09:00:00,24.3,V ugm-3 (TEOM FDMS),14.4,V ugm-3 (TEOM FDMS),83.1,N deg,4.2,N ms-1,18.3,N degC
2020-06-24,10:00:00,23.5,V ugm-3 (TEOM FDMS),13.7,V ugm-3 (TEOM FDMS),82.2,N deg,4.4,N ms-1,19.9,N degC
2020-06-24,11:00:00,24.6,V ugm-3 (TEOM FDMS),14.4,V ugm-3 (TEOM FDMS),81.2,N deg,4.4,N ms-1,21.6,N degC
2020-06-24,12:00:00,22.3,V ugm-3 (TEOM FDMS),15.7,V ugm-3 (TEOM FDMS),81.8,N deg,4.1,N ms-1,23.5,N degC
2020-06-24,13:00:00,22.3,V ugm-3 (TEOM FDMS),12.9,V ugm-3 (TEOM FDMS),81.7,N deg,4,N ms-1,24.6,N degC
2020-06-24,14:00:00,18.4,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),85.2,N deg,3.7,N ms-1,25.4,N degC
2020-06-24,15:00:00,17.5,V ugm-3 (TEOM FDMS),9.1,V ugm-3 (TEOM FDMS),98.2,N deg,3.3,N ms-1,26,N degC
2020-06-24,16:00:00,19.2,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),120.3,N deg,3.2,N ms-1,26,N degC
2020-06-24,17:00:00,17.4,V ugm-3 (TEOM FDMS),9.5,V ugm-3 (TEOM FDMS),136.7,N deg,3.3,N ms-1,25.5,N degC
