date, pm25, pm10, o3, no2, so2, co
2020/11/2, 29, 15, 30, 3, 1, 4
2020/11/3, 29, 15, 25, 10, 1, 4
2020/11/4, 31, 13, 11, 14, 1, 3
2020/11/5, 37, 27, 12, 14, 1, 4
2020/11/6, 68, 32, 11, 13, 1, 5
2020/11/7, 89, 33, 6, 11, 1, 6
2020/11/8, 84, 26, 15, 12, 1, 6
2020/11/9, 77, 11, 15, 6, 1, 4
2020/11/10, 32, , , , , 
2020/10/1, 17, 6, 26, 4, 3, 4
2020/10/2, 14, 3, 27, 3, 3, 4
2020/10/3, 14, 7, 22, 3, 3, 5
2020/10/4, 21, 11, 19, 6, 2, 5
2020/10/5, 32, 9, 21, 4, , 4
2020/10/6, 27, 10, 20, 7, 1, 4
2020/10/7, 21, 7, 20, 4, 1, 4
2020/10/8, 15, 9, 21, 7, 1, 4
2020/10/9, 26, 9, 21, 4, 1, 4
2020/10/10, 25, 6, 20, 4, 1, 4
2020/10/11, 18, 7, 19, 8, 1, 4
2020/10/12, 16, 6, 16, 6, 1, 4
2020/10/13, 16, 14, 21, 6, 1, 4
2020/10/14, 31, , 19, 8, 2, 5
2020/10/19, 35, 16, 22, 8, 2, 6
2020/10/20, 26, 14, 22, 8, 3, 6
2020/10/21, 35, 12, 23, 6, 3, 6
2020/10/22, 23, 11, 23, 7, 3, 5
2020/10/23, 23, 10, 26, 4, 3, 5
2020/10/24, 17, 9, 25, 2, 3, 6
2020/10/26, 15, 12, 22, 5, 3, 6
2020/10/27, 22, 13, 26, 4, 3, 6
2020/10/28, 22, 12, 26, 2, , 6
2020/10/29, 16, 13, 28, 5, , 4
2020/10/30, 19, 7, 26, 4, , 4
2020/10/31, 13, 15, 29, 2, , 3
2020/11/1, 34, 17, 29, 2, , 4
2020/9/1, 38, 11, 24, 14, 3, 1
2020/9/2, 37, 8, 19, 3, 3, 1
2020/9/3, 16, 16, 22, 8, 3, 1
2020/9/4, 35, 10, 21, 4, 3, 1
2020/9/5, 26, 11, 17, 6, 3, 2
2020/9/6, 26, 9, 20, 5, 3, 2
2020/9/7, 21, 5, 22, 2, 4, 2
2020/9/8, 11, 7, 23, 3, 2, 2
2020/9/9, 16, 8, 24, 5, 1, 2
2020/9/10, 18, , 20, , , 2
