Date,Time,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2020-06-23,01:00:00,2.85071,V ugm-3,No data,V mgm-3,9.8,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),210,N deg,2.7,N ms-1,10.7,N degC
2020-06-23,02:00:00,3.70533,V ugm-3,No data,V mgm-3,10,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),199.5,N deg,2.8,N ms-1,10.3,N degC
2020-06-23,03:00:00,4.60728,V ugm-3,No data,V mgm-3,7.1,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),209.8,N deg,3.4,N ms-1,10.7,N degC
2020-06-23,04:00:00,5.75719,V ugm-3,No data,V mgm-3,8.7,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),215,N deg,2.6,N ms-1,10.9,N degC
2020-06-23,05:00:00,6.95762,V ugm-3,No data,V mgm-3,12.9,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),195.7,N deg,1.9,N ms-1,10.8,N degC
2020-06-23,06:00:00,8.22524,V ugm-3,No data,V mgm-3,13.6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),167.6,N deg,2.2,N ms-1,11.2,N degC
2020-06-23,07:00:00,9.67061,V ugm-3,No data,V mgm-3,13.9,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),150.7,N deg,2.8,N ms-1,11.3,N degC
2020-06-23,08:00:00,10.41975,V ugm-3,No data,V mgm-3,17,V ugm-3 (TEOM FDMS),6.8,V ugm-3 (TEOM FDMS),134.5,N deg,2.6,N ms-1,11.6,N degC
2020-06-23,09:00:00,10.15692,V ugm-3,No data,V mgm-3,14.4,V ugm-3 (TEOM FDMS),8.6,V ugm-3 (TEOM FDMS),126.8,N deg,2.8,N ms-1,12.4,N degC
2020-06-23,10:00:00,8.15209,V ugm-3,No data,V mgm-3,19.6,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),123.6,N deg,2.9,N ms-1,13.9,N degC
