timestamp,minute,hour,day,month,year,CH4,CO,NH3,NO2,PM1_0,PM2_5,PM10_0,eCO2,tVOC,vcc_volt,AQI-1hr-index,AQI-1hr-PM10_0,AQI-1hr-PM2_5,AQI-1hr-NO2, AQI-1hr-CO,AQI-std-index,AQI-std-PM10_0,AQI-std-PM2_5,AQI-std-NO2,AQI-std-CO
1592912697,44,12,23,6,2020,0,0.08,0.01,0.00107,0,5,5,820,63,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592913599,59,12,23,6,2020,0,0.07,0,0.0017575,1,3,5,592,29,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592914501,15,13,23,6,2020,0,0.08,0.01,0.0009475,3,3,3,914,78,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592915405,30,13,23,6,2020,0,0.07,0.01,0.001545,2,4,6,741,51,3.359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592916306,45,13,23,6,2020,0,0.08,0.01,0.0013325,1,1,1,977,87,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592917208,0,14,23,6,2020,0,0.09,0.01,0.00109,3,5,6,1393,151,3.359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592918111,15,14,23,6,2020,0,0.08,0.01,0.0009775,2,2,2,1558,176,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592919015,30,14,23,6,2020,0,0.09,0.01,0.00086,3,5,6,1931,233,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592919918,45,14,23,6,2020,0,0.1,0.01,0.0008175,2,2,2,2330,294,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592920822,0,15,23,6,2020,0,0.1,0.01,0.0008925,0,1,2,1913,230,3.359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592921726,15,15,23,6,2020,0,0.11,0.01,0.0006525,4,4,4,2100,258,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592922631,30,15,23,6,2020,0,0.12,0.01,0.0006175,2,3,3,2468,315,3.359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592923535,45,15,23,6,2020,0,0.11,0.01,0.000715,0,0,0,2765,360,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592924441,0,16,23,6,2020,0,0.11,0.01,0.00073,2,4,10,2869,376,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592925345,15,16,23,6,2020,0,0.1,0.01,0.000745,1,4,10,1754,206,3.369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1592926252,30,16,23,6,2020,0,0.1,0.01,0.0009875,1,4,4,1528,171,3.359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
